"Model","R_squared","Adj_R_squared","F_statistic","Delta_R_squared"
"Model 1",0.178051420017759,0.177952568715296,1801.20459296816,0
"Model 2",0.178837899121594,0.178722680642447,1552.16333739242,0.000786479103834531
"Model 3",0.178906862427925,0.178775192585467,1358.7535238688,6.89633063317152e-05
"Model 4",0.179599123316094,0.179451116663256,1213.4530433037,0.000692260888168622
